"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-11","8.28",",,W"," 0919",",,W","0.00",",,W",,,,,,,,,"42",",,W","26",",,W",,,"   90",",,W","  100",",,W","18.1",",,W","21.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-12","2.68",",,W"," 0647",",,W","0.00",",,W",,,,,,,,,"41",",,W","25",",,W",,,"  100",",,W","  100",",,W","8.9",",,W","12.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-13","7.83",",,W"," 2056",",,W","0.01",",,W",,,,,,,,,"36",",,W","28",",,W",,,"  270",",,W","  270",",,W","21.0",",,W","25.9",",,W","    1",",,W","    1",",,W",,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-14","4.92",",,W"," 0020",",,W","0.00",",,W",,,,,,,,,"36",",,W","19",",,W",,,"   40",",,W","  270",",,W","14.1",",,W","17.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-15","6.93",",,W"," 1044",",,W","0.00",",,W",,,,,,,,,"36",",,W","19",",,W",,,"   30",",,W","   70",",,W","16.1",",,W","31.1",",,W",,,,,,,,,"    1",",,W"
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-16","8.05",",,W"," 2224",",,W","0.00","T,,W",,,,,,,,,"32",",,W","12",",,W",,,"   80",",,W","   90",",,W","23.9",",,W","32.0",",,W",,,,,,,,,"    1",",,W"
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-17","11.86",",,W"," 1117",",,W","0.00",",,W",,,,,,,,,"21",",,W","5",",,W",,,"   80",",,W","   80",",,W","21.9",",,W","25.9",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-18","3.80",",,W"," 1321",",,W","0.00",",,W",,,,,,,,,"28",",,W","4",",,W",,,"  100",",,W","  310",",,W","15.0",",,W","17.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-19","1.79",",,W"," 1540",",,W","0.00",",,W",,,,,,,,,"30",",,W","4",",,W",,,"  210",",,W","  230",",,W","10.1",",,W","15.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-20","8.50",",,W"," 1520",",,W","0.00",",,W",,,,,,,,,"38",",,W","19",",,W",,,"  260",",,W","  240",",,W","21.0",",,W","25.9",",,W",,,,,,,,,,
